UIUX,CLUB,BL,TARGET PRODUCT,TEST TYPE,COMPONENT,VARIABLE,JIRA URL,TARGET URL,TITLE,WINNER,STATUS,START DATE,TODAY'S DATE,PROJECTED END DATE,PROJECTED # OF DAYS,PROJECTED SAMPLE SIZE PER OFFER,PROJECTED LIFT,CURRENT FLIGHT (DAYS),ACTUAL END DATE,RETEST,TOTAL FLIGHT (DAYS),PRODUCTION LIVE DATE,AVG LIFT (%),PRIMARY GOAL,DESCRIPTION,LEARNINGS,BL REQUEST (Y/A:B:C)
PM,NE,mxx,Join,,Link Copy,,n/a,mxx_mxxhome_component_linkCopy_0218_av,mxx_mxxhome_component_linkCopy_0218_av,B,COMPLETED,"Thu, 02/1/18","Tue, 09/10",,,,,,,FALSE,,,12.74%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Redesign,,n/a,mxx_mxxhome_join_redesign_0118_mbl_v3,mxx_mxxhome_join_redesign_0118_mbl_v3,A,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,-2.10%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Redesign,,n/a,mxx_mxxhome_join_redesign_0118_mbl_v2,mxx_mxxhome_join_redesign_0118_mbl_v2,A,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,-10.52%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Redesign,,n/a,mxx_mxxhome_join_redesign_0118_mbl,mxx_mxxhome_join_redesign_0118_mbl,A,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,-2.10%,Increase conversion to join.,,,
PM,NE,mxx,Upgrade,,Redesign,,n/a,mxx_mxxupgradenow_component_redesign_0118_av_2,mxx_mxxupgradenow_component_redesign_0118_av_2,A,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,-6.03%,Increase conversion to Upgrades.,,,
PM,NE,mxx,Upgrade,,Redesign,,n/a,mxx_mxxupgradenow_component_redesign_0118_av,mxx_mxxupgradenow_component_redesign_0118_av,A,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,-6.03%,Increase conversion to Upgrades.,,,
PM,NE,mxx,Join,,Redirect,redirect,n/a,mxx_mxxhome_Redirect_funnel_0118_cmpid_ctrl…,mxx_mxxhome_Redirect_funnel_0118_cmpid_ctrl…,A,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,-6.23%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Redirect,redirect,n/a,mxx_mxxhome_Redirect_funnel_0118_cmpid_ny,mxx_mxxhome_Redirect_funnel_0118_cmpid_ny,A,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,-7.57%,Increase conversion to join.,,,
PM,NE,mxx,Join Plus,,Button,copy - cta,n/a,mxx_mxxplus_mbrbenefits_btncopy_0118_av,mxx_mxxplus_mbrbenefits_btncopy_0118_av,A,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,-30.71%,Increase conversion to join.,,,
PM,NE,mxx,Join Premier,,Button,copy - cta,n/a,mxx_mxxpremier_mbrbenefits_btncopy_0118_av,mxx_mxxpremier_mbrbenefits_btncopy_0118_av,A,COMPLETED,"Mon, 01/1/18","Tue, 09/10",,,,,,,FALSE,,,-46.73%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Hero,,n/a,mxx_mxxhome_hero_image_0618_av,mxx_mxxhome_hero_image_0618_av,B,COMPLETED,"Fri, 06/1/18","Tue, 09/10",,,,,,,FALSE,,,11.99%,Increase conversion to join.,,,
RB,NE,fxx,Auto Loans,,Redirect,,https://aaanortheast.atlassian.net/browse/AT-238,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_fxxhome_heroredirect1117av,fxx_fxxhome_hero_redirect_1117_av,A,COMPLETED,"Mon, 01/8/18","Tue, 09/10",,,,,,"Fri, 01/19",FALSE,11,,,Financial Homepage Auto Loans Redirect,Increase completions for Auto Loans Application. Tested Auto Loans hero CTA (directly to Application vs. landing page),,
RB,NE,fxx,Home Loans,,5050 - Image,image,https://aaanortheast.atlassian.net/browse/AT-210,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_fxxhome_5050imagetitle1017avv2,fxx_fxxhome_5050_image_title_1017_av_v2,NONE,COMPLETED,"Mon, 01/15/18","Tue, 09/10",,,,,,"Thu, 05/3",FALSE,108,,,Increase conversions/clicks to AAA Home Loans products in 5050. Tested 5050 component imagery.,Increase conversions/clicks to AAA Home Loans products in 5050. Tested 5050 component imagery.,,
RB,NE,ixx,Insurance Products,,Widget,styling,https://aaanortheast.atlassian.net/browse/AT-262,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/ixx_nehome_widgetcolor0118av,ixx_nehome_widget_color_0118_av,A,COMPLETED,"Mon, 01/22/18","Tue, 09/10",,,,,,"Thu, 02/8",FALSE,17,,,Increase engagement for Insurance Savings widget on AAANE homepage.,Changed component background color to increase clicks in the widget.,,
RB,NE,fxx,Auto Loans,,Hero,image,https://aaanortheast.atlassian.net/browse/AT-260,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_fxxauto_herocopy0118avv2,fxx_fxxauto_hero_copy_0118_av,A,COMPLETED,"Mon, 01/22/18","Tue, 09/10",,,,,,"Thu, 02/8",FALSE,17,,,Increase conversions/completions for the Auto Loans Application. Tested hero copy.,Tested hero copy.,,
RB,NE,fxx,Auto Loans,,Form,redirect,https://aaanortheast.atlassian.net/browse/AT-266,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_autoloanapp_newfunnel0118,fxx_autoloanapp_newfunnel_0118_av,B,COMPLETED,"Mon, 01/22/18","Tue, 09/10",,,,,,"Fri, 05/4",FALSE,102,,,Improve auto loan conversions with newly designed funnel.,Improve auto loan conversions with newly designed funnel.,,
RB,NE,ixx,Auto Insurance,,Form,other,https://aaanortheast.atlassian.net/browse/AT-264,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/ixx_maauto_completionpercentage1117,ixx_autoinsurance_headerfooter_0118_av,B,COMPLETED,"Tue, 01/23/18","Tue, 09/10",,,,,,"Fri, 03/23",FALSE,59,,,Increase MA Auto Insurance Quote conversions.,Created slimmed down header/footer for less distraction.,,
PM,NE,mxx,Join,Conversion,Redesign,,n/a,mxx_mxxhome_component_redesign_0218_dskp,mxx_mxxhome_component_redesign_0218_dskp,B,COMPLETED,"Mon, 02/12/18","Tue, 09/10",,,,,,"Wed, 02/21",FALSE,9,,11.91%,Increase conversion to join.,,,
RB,NE,ixx,Auto Insurance,,Icon Row,styling,https://aaanortheast.atlassian.net/browse/AT-267,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/ixx_ixxautoins_redesigniconrow0118av,ixx_ixxautoins_redesign_iconrow_0118_av,B,COMPLETED,"Mon, 01/29/18","Tue, 09/10",,,,,,"Mon, 04/9",FALSE,70,,,Increase conversions/clicks to Auto Insurance Quote Applications.,Tested Icon Row content/copy. Removed redundancy of states and replaced them with highlights/benefits of completing the application.,,
PM,NE,mxx,Join,,Redesign,,n/a,mxx_baseballsweepstakes_redesign_0518_av_v2,mxx_baseballsweepstakes_redesign_0518_av_v2,B,COMPLETED,"Tue, 05/1/18","Tue, 09/10",,,,,,,FALSE,,,10.02%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Link,,n/a,mxx_mxxhome_join_link_0917_sem,mxx_mxxhome_join_link_0917_sem,B,COMPLETED,"Sat, 09/1/18","Tue, 09/10",,,,,,,FALSE,,,7.30%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Funnel,,n/a,mxx_mxxhome_join_offer_0917_sem,mxx_mxxhome_join_offer_0917_sem,B,COMPLETED,"Sat, 09/1/18","Tue, 09/10",,,,,,,FALSE,,,6.40%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Hero,,n/a,mxx_mxxhome_hero_title_1117_dpl,mxx_mxxhome_hero_title_1117_dpl,B,COMPLETED,"Wed, 11/1/17","Tue, 09/10",,,,,,,FALSE,,,6.38%,Increase conversion to join.,,,
PM,NE,mxx,Join,,5050 - Copy,,n/a,mxx_nehome_5050_copy_0817_av,mxx_nehome_5050_copy_0817_av,B,COMPLETED,"Tue, 08/1/17","Tue, 09/10",,,,,,,FALSE,,,3.07%,Increase conversion to join.,,,
PM,NE,mxx,Join Basic,,Redesign,styling,n/a,mxx_mxxbasic_benefits_redesign_0218_av,mxx_mxxbasic_benefits_redesign_0218_av,A,COMPLETED,"Thu, 02/1/18","Tue, 09/10",,,,,,,FALSE,,,-13.17%,Increase conversion to join.,,,
PM,NE,mxx,Join Plus,,Redesign,styling,n/a,mxx_mxxplus_benefits_redesign_0218_av,mxx_mxxplus_benefits_redesign_0218_av,A,COMPLETED,"Thu, 02/1/18","Tue, 09/10",,,,,,,FALSE,,,-31.89%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Redesign,,n/a,membership.html,mxx_mxxbenefits_component_redesign_0218_av,,DRAFT,"Thu, 02/1/18","Tue, 09/10",,,,,,,FALSE,,,,Increase conversion to join.,,,
RB,NE,fxx,Auto Buying Program,,Redesign,styling,https://aaanortheast.atlassian.net/browse/AT-258,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_autobuying_iconredesign0118av,fxx_autobuying_icon_redesign_0118_av,A,COMPLETED,"Mon, 02/5/18","Tue, 09/10",,,,,,"Fri, 02/9",FALSE,4,,,Increase conversions for the True Car Auto Buying widget. Testing 1 column component vs icon row component.,Testing 1 column component vs icon row component.,,
RB,NE,fxx,Finance Products,,Testimonials,other,https://aaanortheast.atlassian.net/browse/AT-272,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_fxxhome_testimonials0118av,fxx_fxxhome_testimonials_0118_av,B,COMPLETED,"Mon, 02/5/18","Tue, 09/10",,,,,,"Fri, 05/4",FALSE,88,,,Financial Homepage testimonials,Increase conversions/engagement on the Financial homepage by removing the Testimonials component.,,
RB,NE,ixx,Insurance Products,,Widget,styling,https://aaanortheast.atlassian.net/browse/AT-270,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/ixx,ixx_ixxhome_widget_redesign_0218_av,A,COMPLETED,"Tue, 02/6/18","Tue, 09/10",,,,,,"Fri, 02/9",FALSE,3,,,Increase conversions/clicks in Insurance widget.,Changed Insurance widget background color from white to transparent.,,
RB,NE,mxx,Testimonials,,Testimonials,other,https://aaanortheast.atlassian.net/browse/AT-271,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/mxx_mxxhome_testimonialsredesign0218avv2,mxx_mxxhome_testimonials_redesign_0218_av,B,COMPLETED,"Tue, 02/6/18","Tue, 09/10",,,,,,"Wed, 02/21",FALSE,15,,, Redesigning Member Testimonials section to increase conversions/clicks to Join and Renew CTAs., Redesigning Member Testimonials section to increase conversions/clicks to Join and Renew CTAs.,,
PM,NE,mxx,Join,,Funnel,,n/a,mxx_nehome_join_3step_1217_av,mxx_nehome_join_3step_1217_av,B,COMPLETED,"Fri, 12/1/17","Tue, 09/10",,,,,,,FALSE,,,2.96%,Increase conversion to join.,,,
RB,NE,ixx,Insurance Products,,Widget,image,https://aaanortheast.atlassian.net/browse/AT-277,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/ixx_nehome_widgetimg0218av,ixx_nehome_widget_img_0218_av,A,COMPLETED,"Mon, 02/12/18","Tue, 09/10",,,,,,"Fri, 02/16",FALSE,4,,,Increase engagement for Insurance Savings widget on AAANE homepage.,Added background image to widget component vs. widget background color.,,
RB,NE,ixx,Insurance Products,,Widget,styling,https://aaanortheast.atlassian.net/browse/AT-281,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/ixx_ixxhome_widgetredesign0218mobile,ixx_ixxhome_widget_redesign_0218_mobile,NONE,COMPLETED,"Wed, 02/14/18","Tue, 09/10",,,,,,"Fri, 05/4",FALSE,79,,,Increase conversions/clicks in Insurance widget. Mobie Audiences Only.,Changed Insurance widget background color from white to transparent. Mobile Audiences Only.,,
RB,NE,fxx,Auto Loans,,Hero,image,https://aaanortheast.atlassian.net/browse/AT-278,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_autoloans_heroimg0218av,fxx_autoloans_hero_img_0218_av,B,COMPLETED,"Wed, 02/14/18","Tue, 09/10",,,,,,"Fri, 03/9",FALSE,23,,,Increase conversions to the Auto Loans Application in the hero image.,Testing hero image and hero title alignment.,,
RB,NE,ixx,Travel Medical Insurance,,CTA Banner,copy - cta,,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/ixx_txmedical_ctabancopy0218avv2,ixx_txmedical_ctaban_copy_0218_av_v2,A,COMPLETED,"Fri, 02/16/18","Tue, 09/10",,,,,,"Fri, 02/23",FALSE,7,,,Increase conversions/clicks to the AAA International Insurance Plans landing page.,Tested CTA button copy (Select a Plan & Buy vs. View Plans & Get Pricing).,,
RB,NE,ixx,Insurance Products,,Widget,other,https://aaanortheast.atlassian.net/browse/AT-285,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/ixx_nehome_widgetcopy0218av,ixx_nehome_widget_copy_0218_av,A,COMPLETED,"Mon, 02/19/18","Tue, 09/10",,,,,,"Tue, 04/17",FALSE,57,,,Increase conversions for the Insurance widget on the AAANE homepage.,Tested heading copy above the Insurance widget.,,
RB,NE,fxx,Auto Loans,,Redesign,styling,https://aaanortheast.atlassian.net/browse/AT-293,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_nehome_topnavredesign0218dsktp,fxx_nehome_topnav_redesign_0218_dsktp,B,COMPLETED,"Tue, 02/20/18","Tue, 09/10",,,,,,"Fri, 06/15",FALSE,115,,,Loans & Banking Top Navigation - Auto Loans - Desktop,Increase clicks to the Auto Loans Overview page in the Loans and Banking top nav. Tested widget column.,,
RB,NE,fxx,Home Equity,,Redesign,styling,https://aaanortheast.atlassian.net/browse/AT-291,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx,fxx_homeequity_ctaban_rearrange_0218_av,B,COMPLETED,"Tue, 02/20/18","Tue, 09/10",,,,,,"Fri, 05/25",FALSE,94,,,Increase clicks to Home Equity Loans Request Form (rearranged CTA Banner).,Increase clicks to Home Equity Loans Request Form (rearranged CTA Banner).,,
RB,NE,fxx,Visa Credit Card,,Link Copy,copy - cta,https://aaanortheast.atlassian.net/browse/AT-295,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_topnav_visa_copy0218av,fxx_topnav_visa_copy_0218_av,A,COMPLETED,"Wed, 02/21/18","Tue, 09/10",,,,,,"Thu, 05/3",FALSE,71,,,Loans & Banking Top Navigation - Credit Card - All Visitors,Increase clicks to AAA Visa Credit Card page from the top nav (Credit Card vs. AAA Visa Credit Card).,,
RB,NE,fxx,Auto Refinance,,Redesign,styling,https://aaanortheast.atlassian.net/browse/AT-297,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/fxx_autoref_onecolredesign0218av,fxx_autoref_onecol_redesign_0218_av,B,COMPLETED,"Tue, 02/27/18","Tue, 09/10",,,,,,"Fri, 07/13",FALSE,136,,,Finance - Auto Refinance Benefits section,Increase clicks to Auto Loans Application (different benefits section).,,
RB,NE,ixx,Insurance Products,,Hero,copy - title,https://aaanortheast.atlassian.net/browse/AT-299,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/ixx_ixxhome_herocopy0318av,ixx_ixxhome_hero_copy_0318_av,A,COMPLETED,"Wed, 02/28/18","Tue, 09/10",,,,,,"Fri, 03/23",FALSE,23,,,Increase clicks in the Hero Insurance widget.,Changed hero heading copy above the widget.,,
PM,NE,mxx,Join,,Funnel,,n/a,mxx_mxxjoin_funnel_component_redesign_0418_av,mxx_mxxjoin_funnel_component_redesign_0418_av,B,COMPLETED,"Sun, 04/1/18","Tue, 09/10",,,,,,,FALSE,,,2.17%,Increase conversion to join.,,,
PM,NE,mxx,Join,,Hero,copy - cta,n/a,mxx_mxxjoinfunnel_herocta_copy_0318_av,mxx_mxxjoinfunnel_herocta_copy_0318_av,A,COMPLETED,"Thu, 03/1/18","Tue, 09/10",,,,,,,FALSE,,,-13.31%,Increase conversion to join.,,,
RB,NE,ixx,Auto Insurance,,Widget,other,https://aaanortheast.atlassian.net/browse/AT-304,https://aaanortheast.marketing.adobe.com/content/mac/aaanortheast/target/activities.html#reports/A-B/ixx_ixxhome_widgetcta0318av,ixx_ixxauto_widget_cta_0318_av,A,COMPLETED,"Mon, 03/12/18","Tue, 09/10",,,,,,"Fri, 05/18",FALSE,67,,,Increase clicks to Auto Insurance Quote application using widget.,Tested CTA button copy to increase clicks using the Auto Insurance widget.,,
